"UNICODE","FECHA","INSP_COMPLETA"
"29.29.104.122","7/18/12",1
"29.29.104.121A","7/19/12",1
"29.29.104.121","7/19/12",1
"29.29.104.148","7/19/12",1
"29.29.104.146","7/19/12",1
"29.29.104.155","7/19/12",1
"29.29.104.156","7/19/12",1
"29.29.104.159","7/19/12",1
"29.29.104.160","7/19/12",1
"29.29.104.161","7/19/12",1
"29.29.104.168","7/20/12",1
"29.29.104.169","7/20/12",1
"29.29.104.170","7/20/12",1
"29.29.104.171","7/20/12",1
"29.29.104.118","7/20/12",1
"29.29.104.120","7/20/12",1
"29.29.104.119","7/20/12",1
"29.29.104.117","7/20/12",1
"29.29.104.116","7/20/12",1
"29.29.104.180","7/20/12",1
"29.29.104.56","7/20/12",1
"29.29.104.51","7/20/12",1
"29.29.104.226","7/17/12",1
"29.29.104.224","7/17/12",1
"29.29.104.223","7/17/12",1
"29.29.104.220","7/17/12",1
"29.29.104.219","7/17/12",1
"29.29.104.218","7/17/12",1
"29.29.104.216","7/17/12",1
"29.29.104.215","7/17/12",1
"29.29.104.214","7/17/12",1
"29.29.104.217","7/17/12",1
"29.29.104.240A","7/20/12",1
"29.29.104.240","7/20/12",1
"29.29.104.236","7/20/12",1
"29.29.104.235","7/20/12",1
"29.29.104.233","7/20/12",1
"29.29.104.231","7/20/12",1
"29.29.104.65","7/20/12",1
"29.29.104.63","7/20/12",1
"29.29.104.62","7/20/12",1
"29.29.104.60","7/20/12",1
"29.29.104.199","7/21/12",1
"29.29.104.197","7/21/12",1
"29.29.104.196","7/21/12",1
"29.29.104.194","7/21/12",1
"29.29.104.191","7/21/12",1
"29.29.104.190","7/21/12",1
"29.29.104.189","7/21/12",1
"29.29.104.256","7/21/12",1
"29.29.104.253","7/21/12",1
"29.29.104.163","7/20/12",1
"29.29.104.164","7/20/12",1
"29.29.104.165","7/20/12",1
"29.29.104.212","7/20/12",1
"29.29.104.236","7/20/12",1
"29.29.104.232","7/20/12",1
"29.29.104.201","7/20/12",1
"29.29.104.202","7/21/12",1
"29.29.104.206","7/21/12",1
"29.29.104.205","7/21/12",1
"29.29.104.208","7/21/12",1
"29.29.104.209","7/21/12",1
"29.29.104.210","7/21/12",1
"29.29.104.211","7/21/12",1
"29.29.104.151","7/21/12",1
"29.29.104.144","7/21/12",1
"29.29.104.145","7/23/12",1
"29.29.104.84","7/23/12",1
"29.29.104.83","7/23/12",1
"29.29.104.82","7/23/12",1
"29.29.104.250","7/23/12",1
"29.29.104.247","7/23/12",1
"29.29.104.244","7/23/12",1
"29.29.104.242","7/23/12",1
"29.29.104.241","7/23/12",1
"29.29.104.273","7/23/12",1
"29.29.104.274","7/23/12",1
"29.29.104.275","7/23/12",1
"29.29.104.276","7/23/12",1
"29.29.104.277","7/24/12",1
"29.29.104.281","7/24/12",1
"29.29.104.280","7/24/12",1
"29.29.104.284","7/24/12",1
"29.29.104.285","7/24/12",1
"29.29.104.286","7/24/12",1
"29.29.104.287","7/24/12",1
"29.29.104.290","7/24/12",1
"29.29.104.288","7/24/12",1
"29.29.104.344","8/7/12",1
"29.29.104.342","8/7/12",1
"29.29.104.340","8/7/12",1
"29.29.104.339","8/7/12",1
"29.29.104.336","8/7/12",1
"29.29.104.333","8/7/12",1
