"UNICODE" "codeLoc" "LATITUDE" "LONGITUDE" "recentinsp" "not_sprayed" "probability" "uncertainty" "time"
"1.10.38.783" "1.10.38" -16.40913654 -71.50596838 "2017-05-15" 0 0.0273512840877725 0.143758708000448 2
"1.10.38.559" "1.10.38" -16.40991243 -71.50754469 "2017-07-31" 0 0.0272997522363287 0.143713000682739 2
"1.10.38.774" "1.10.38" -16.40887005 -71.50555406 "2017-08-30" 0 0.0271916087750947 0.143290009444568 2
"1.10.38.700" "1.10.38" -16.40866757 -71.50320251 "1997-01-01" 1 0.0270501699943963 0.141712856752477 22
"1.10.38.667" "1.10.38" -16.40998604 -71.5051173 "2017-05-18" 0 0.0269699492563084 0.142225316071147 2
"1.10.38.866" "1.10.38" -16.40777969 -71.50332713 "2017-01-19" 1 0.0269568473213699 0.142102272623992 2
"1.10.38.541" "1.10.38" -16.41024531 -71.50806184 "2017-07-31" 1 0.0269376430371398 0.141589648603993 2
"1.10.38.558" "1.10.38" -16.41000178 -71.50750734 "2017-07-31" 0 0.0269032308187677 0.142619675300214 2
"1.10.38.934" "1.10.38" -16.40844906 -71.50677378 "2017-05-26" 1 0.0268172154202091 0.14117378526885 2
"1.10.38.949" "1.10.38" -16.40817978 -71.50651684 "2017-05-30" 1 0.0267715989550229 0.14098142584696 2
"1.10.38.613" "1.10.38" -16.40915814 -71.50724056 "2017-05-08" 1 0.0266995842197816 0.141110351250226 2
"1.10.38.676" "1.10.38" -16.40946896 -71.50420182 "2017-08-02" 1 0.0266913089844892 0.140660717131022 2
"1.10.38.959" "1.10.38" -16.40779215 -71.50548742 "2017-05-31" 1 0.0266407839493619 0.140650198909607 2
"1.10.38.785" "1.10.38" -16.40926815 -71.50578352 "2017-05-15" 0 0.0266243563166977 0.141708878619869 2
"1.10.38.839" "1.10.38" -16.40877085 -71.50591379 "2017-05-22" 0 0.0265424410014003 0.141505928404601 2
"1.10.38.779" "1.10.38" -16.40877211 -71.50505395 "2017-05-12" 1 0.0265409055882179 0.140376553777314 2
"1.10.38.954" "1.10.38" -16.40795041 -71.50594861 "2017-09-08" 0 0.02643670016603 0.14110811061253 2
"1.10.38.531" "1.10.38" -16.41028035 -71.50764506 "2017-04-10" 0 0.0264123802865004 0.141251804002205 2
"1.10.38.719" "1.10.38" -16.40848341 -71.50332515 "2012-06-27" 0 0.026364548343091 0.140938565089779 7
"1.10.38.535" "1.10.38" -16.41054875 -71.50765335 "2017-04-11" 0 0.0263419459716491 0.140999671068174 2
"1.10.38.873" "1.10.38" -16.40815315 -71.50390594 "2012-07-19" 0 0.0263208162092032 0.141569142670391 7
"1.10.38.960" "1.10.38" -16.40776637 -71.50541163 "2017-05-31" 0 0.0262715024492808 0.140651155930548 2
"1.10.38.841" "1.10.38" -16.40883745 -71.50617272 "2017-05-25" 0 0.026239942861141 0.140667694332929 2
"1.10.38.713" "1.10.38" -16.40890746 -71.50391148 "1997-01-01" 1 0.0261913611853899 0.137902348469738 22
"1.10.38.795" "1.10.38" -16.40932665 -71.50615233 "2017-08-30" 0 0.026183709007702 0.140546303822473 2
"1.10.38.815" "1.10.38" -16.40858064 -71.50607739 "2017-09-06" 0 0.0261414180789144 0.140381354591463 2
"1.10.38.624" "1.10.38" -16.4094627 -71.50682634 "2017-05-11" 0 0.0261178036611429 0.140319268323873 2
"1.10.38.816" "1.10.38" -16.40856086 -71.50601585 "2017-05-18" 0 0.0260855318704615 0.140225875977706 2
"1.10.38.947" "1.10.38" -16.40822967 -71.50671583 "2017-09-08" 0 0.0260771454862058 0.140056965116693 2
"1.10.38.697" "1.10.38" -16.40852711 -71.5029428 "2015-11-05" 0 0.0260648611047009 0.139850678346555 4
"1.10.38.555" "1.10.38" -16.41030169 -71.50737838 "2017-07-31" 0 0.026031223974818 0.140151320205652 2
"1.10.38.932" "1.10.38" -16.40841787 -71.50660797 "2017-05-26" 0 0.0260141964633339 0.139960260184658 2
"1.10.38.554" "1.10.38" -16.41037336 -71.50735045 "2017-04-18" 0 0.026004491265518 0.140062900374501 2
"1.10.38.823" "1.10.38" -16.40841424 -71.50528796 "2017-05-18" 0 0.0259874886159584 0.140018390837103 2
"1.10.38.833" "1.10.38" -16.40860704 -71.50540202 "2017-05-22" 0 0.0259852242772965 0.140003076333545 2
"1.10.38.870" "1.10.38" -16.40805579 -71.50359819 "2012-07-25" 0 0.0259851626656067 0.140439689703442 7
"1.10.38.950" "1.10.38" -16.40814732 -71.50643159 "2017-05-30" 0 0.0259750564572881 0.139783318021052 2
"1.10.38.828" "1.10.38" -16.40847051 -71.50493578 "2017-05-22" 1 0.0259331528038609 0.138800109043727 2
"1.10.38.762" "1.10.38" -16.40881089 -71.5047055 "2017-08-28" 0 0.0258978282842193 0.139498341508003 2
"1.10.38.674" "1.10.38" -16.40956386 -71.50436903 "2017-05-20" 0 0.0257331587724413 0.138935918681057 2
"1.10.38.794" "1.10.38" -16.4093904 -71.50605652 "2017-04-12" 0 0.0257270819053607 0.139236691476981 2
"1.10.38.962" "1.10.38" -16.40796382 -71.50529586 "2017-05-31" 0 0.0256997858428381 0.139091890907303 2
"1.10.38.621" "1.10.38" -16.4092493 -71.50683317 "2017-05-11" 0 0.0256770879397871 0.139067450401 2
"1.10.38.660" "1.10.38" -16.41012914 -71.50596968 "2017-05-18" 1 0.0256218263580158 0.137820469295075 2
"1.10.38.537" "1.10.38" -16.41052552 -71.50789495 "2017-04-13" 0 0.0256194346620736 0.138833889479934 2
"1.10.38.675" "1.10.38" -16.40951516 -71.50426488 "2017-08-02" 1 0.0256192309032397 0.137558818850768 2
"1.10.38.760" "1.10.38" -16.4081367 -71.50314859 "2012-07-02" 0 0.0256082121913033 0.138724453300608 7
"1.10.38.575" "1.10.38" -16.41051763 -71.50700399 "2017-04-22" 0 0.0255968556216471 0.138808329158591 2
"1.10.38.813" "1.10.38" -16.40866299 -71.50629403 "2017-09-06" 0 0.0255755693741418 0.138753278804571 2
"1.10.38.782" "1.10.38" -16.40906567 -71.50606965 "2017-05-15" 0 0.0254698121879548 0.138404312523649 2
"1.10.38.607" "1.10.38" -16.40953036 -71.50705439 "2017-07-31" 0 0.0254675795512448 0.138500779713975 2
"1.10.38.836" "1.10.38" -16.4086418 -71.50559559 "2017-06-01" 0 0.0254638124979185 0.138486227528635 2
"1.10.38.663" "1.10.38" -16.41004954 -71.50565209 "2017-05-18" 0 0.0254463161281735 0.138306233039303 2
"1.10.38.784" "1.10.38" -16.40920893 -71.50588569 "2017-08-30" 0 0.0254353979639356 0.138302195513953 2
"1.10.38.557" "1.10.38" -16.41011706 -71.50745436 "2017-04-21" 0 0.0252997551002075 0.138043962949206 2
"1.10.38.825" "1.10.38" -16.40828899 -71.5050421 "2017-05-18" 0 0.0252506549562639 0.137859917518646 2
"1.10.38.635" "1.10.38" -16.40972075 -71.50612038 "2017-07-31" 1 0.0252004291251679 0.136284274495789 2
"1.10.38.668" "1.10.38" -16.40992393 -71.50500624 "2017-05-18" 0 0.0251980777913272 0.137172591000737 2
"1.10.38.574" "1.10.38" -16.41050587 -71.50690796 "2017-04-22" 0 0.0251776970034941 0.137556556963023 2
"1.10.38.669" "1.10.38" -16.40984791 -71.50486532 "2017-08-02" 0 0.0251513670394167 0.137073960569176 2
"1.10.38.799" "1.10.38" -16.40910815 -71.50638694 "2017-08-30" 0 0.025139904258311 0.137494680970736 2
"1.10.38.930" "1.10.38" -16.40835792 -71.50637217 "2017-05-26" 0 0.0251082877339995 0.137358966514312 2
"1.10.38.917" "1.10.38" -16.40809143 -71.50523719 "2017-05-26" 0 0.0251059468328616 0.137380225329185 2
"1.10.38.573" "1.10.38" -16.41043946 -71.50691968 "2017-04-22" 0 0.0250109444286498 0.137125095735252 2
"1.10.38.536" "1.10.38" -16.41054032 -71.50773926 "2017-07-31" 0 0.0249913843076015 0.137096575702901 2
"1.10.38.776" "1.10.38" -16.40880822 -71.50534418 "2017-08-30" 0 0.0249503704564225 0.136864406973933 2
"1.10.38.809" "1.10.38" -16.40870815 -71.50658428 "2017-05-16" 0 0.0249145694438306 0.136824636268769 2
"1.10.38.544" "1.10.38" -16.41068733 -71.50782507 "2017-04-17" 0 0.0249056466001265 0.136609684222787 2
"1.10.38.763" "1.10.38" -16.40891733 -71.50464311 "2017-08-28" 0 0.0249052548006863 0.136556510425265 2
"1.10.38.923" "1.10.38" -16.40823931 -71.50577817 "2017-05-25" 0 0.0248839898204075 0.136750523873652 2
"1.10.38.561" "1.10.38" -16.40985375 -71.50735376 "2017-04-21" 0 0.0248820130475863 0.136799782757918 2
"1.10.38.801" "1.10.38" -16.40908484 -71.50621522 "2017-08-30" 0 0.0248606873691274 0.136669704112585 2
"1.10.38.812" "1.10.38" -16.40867146 -71.50640616 "2017-09-06" 0 0.0248484387181693 0.136638552129772 2
"1.10.38.693" "1.10.38" -16.40878043 -71.50301679 "2017-08-28" 1 0.0248411642335431 0.135366470367461 2
"1.10.38.566" "1.10.38" -16.41008405 -71.50706894 "2017-04-22" 0 0.0247927395664052 0.13657778560704 2
"1.10.38.605" "1.10.38" -16.40959187 -71.50731852 "2017-07-31" 0 0.0247520778467096 0.136492318161477 2
"1.10.38.921" "1.10.38" -16.40819296 -71.50565671 "2017-05-25" 0 0.0247491571942449 0.136361722197479 2
"1.10.38.606" "1.10.38" -16.40966113 -71.50752023 "2017-05-08" 0 0.0247445087423296 0.136134201111393 2
"1.10.38.528" "1.10.38" -16.41004629 -71.50775354 "2017-07-31" 0 0.0246764793552434 0.136220337946025 2
"1.10.38.848" "1.10.38" -16.40897884 -71.50668702 "2017-05-25" 0 0.0246605525720485 0.136059319428264 2
